id,NAME,DESCRIPTION,CATEGORY,EFFECT,VISUAL_DESCRIPTION,CLASS,IMAGES,DEFAULT_IMAGE,VALID,PIXEL_IMAGES,DEFAULT_PIXEL_IMAGE,ATK,DEF,CREATED_AT,UPDATED_AT
127,Cloak of Shadows,This magical cloak grants the wearer the ability to become invisible for a short period of time.,defense_item,The wearer of the Cloak of Shadows can become invisible for up to 10 minutes.,"The Cloak of Shadows is a deep black cloak with a hood that covers the wearer's face. It is made of a thick, velvet-like material and is embroidered with silver runes.",Mage,,,1,,,,,2023-10-31T08:02:38.764423,
128,Cloak of Shielding,This magical cloak grants its wearer protection from physical and magical attacks.,defense_item,Grants the wearer a +2 bonus to AC and resistance to all damage types.,"The Cloak of Shielding is a deep blue cloak with a shimmering silver lining. It is adorned with a silver crest on the back, depicting a shield with a lion's head in the center.",Defensive,,,1,,,,,2023-10-31T08:02:38.782746,
129,Cloak of the Guardian,This magical cloak grants its wearer protection from harm.,defense_item,Grants the wearer a shield that absorbs a certain amount of damage.,"The Cloak of the Guardian is a deep blue cloak with a golden trim. It is adorned with a large, ornate symbol of a guardian on the back.",Defensive,,,1,,,,,2023-10-31T08:02:38.803825,
130,Cloak of the Guardian,This magical cloak grants its wearer protection from harm and increases their strength and agility.,defense_item,"Grants the wearer increased strength and agility, as well as protection from harm.","The Cloak of the Guardian is a deep blue cloak with a golden trim. It is adorned with a large, ornate symbol of a guardian on the back.",Warrior,,,1,,,,,2023-10-31T08:02:38.821942,
131,Cloak of the Guardian,This magical cloak grants its wearer protection from harm and increases their strength and agility.,defense_item,Grants the wearer +2 Strength and +2 Agility.,"The Cloak of the Guardian is a deep blue cloak with a golden trim. It is adorned with a large, ornate crest on the back, depicting a fierce lion surrounded by a ring of fire.",Warrior,,,1,,,,,2023-10-31T08:02:38.839909,
132,Cloak of Unyielding Resistance,This magical cloak grants its wearer resistance to all forms of damage.,defense_item,Grants resistance to all forms of damage.,"The Cloak of Unyielding Resistance is a deep blue cloak with silver embroidery. It is made of a thick, sturdy fabric and is lined with a shimmering silver material.",Armor,,,1,,,,,2023-10-31T08:02:38.861244,
133,Cockatrice's Claw,This magical claw grants its wielder the power to turn their enemies to stone.,creature,Target enemy creature is turned to stone.,"The claw is a deep black color, with a sharp, curved tip. It is surrounded by a faint, purple aura.",Warrior,,,1,,,,,2023-10-31T08:02:38.880807,
134,Cockatrice's Claw,This magical claw grants its wielder the power to turn their enemies to stone.,creature,Target creature is turned to stone.,"A large, curved claw made of a shimmering, golden material. It glows with a faint, magical light.",Spell,,,1,,,,,2023-10-31T08:02:38.901965,
135,Crescent Axe of the Wilds,"This axe is said to have been crafted by the gods of the wilds, and is said to be imbued with their power.",attack_item,Deals extra damage to enemies of the wilds.,"The Crescent Axe of the Wilds is a large, double-bladed axe with a curved blade on one side and a straight blade on the other. The handle is made of a dark wood and is decorated with intricate carvings of animals and plants. The blade is made of a bright silver metal and is etched with symbols of the wilds.",Weapon,,,1,,,,,2023-10-31T08:02:38.919972,
136,Crescent Axe of the Wilds,"This axe is said to have been crafted by the gods of the wilds, and is said to be imbued with their power.",attack_item,Grants the wielder increased strength and agility.,"The Crescent Axe of the Wilds is a large, double-bladed axe with a crescent-shaped blade. The handle is made of a dark wood, and the blade is made of a bright silver metal. The blade is etched with intricate designs, and the handle is adorned with small gems.",Weapon,,,1,,,,,2023-10-31T08:02:38.939828,
137,Crossbow Archer,A ranged attacker that can fire multiple arrows at once.,attack_item,Deals damage to multiple enemies at once.,A hooded figure wearing a leather armor and carrying a crossbow in one hand and a quiver of arrows in the other.,Archer,,,1,,,,,2023-10-31T08:02:38.956618,
138,Crossbow of the Wild Hunt,"This crossbow is said to be wielded by the Wild Hunt, a legendary group of spectral hunters that ride across the sky in search of their prey.",attack_item,Deal 2 damage to a minion and freeze it.,"The Crossbow of the Wild Hunt is a long, black crossbow with a silver-tipped arrow. Its handle is made of a dark wood, and its string is made of a mysterious material that glows with a faint blue light.",Hunter,,,1,,,,,2023-10-31T08:02:38.978937,
139,Crossbow of the Wild Hunt,"This powerful crossbow was crafted by the Wild Hunt, a group of legendary hunters who roam the land in search of powerful prey.",attack_item,Deals extra damage to beasts and dragons.,"The Crossbow of the Wild Hunt is a large, ornate crossbow made of dark wood and adorned with intricate carvings. It has a long, curved bow and a thick, heavy stock. The bowstring is made of a strange, glowing material that pulses with energy.",Hunter,,,1,,,,,2023-10-31T08:02:39.002746,
140,Crossbow of the Wild Hunt,"This powerful crossbow was crafted by the Wild Hunt, a group of legendary hunters who roam the land in search of powerful prey. It is said to be able to pierce even the toughest of hides.",attack_item,Deals extra damage to enemies with high armor.,"The Crossbow of the Wild Hunt is a large, black crossbow with a dark green stock and a silver-tipped arrow. The bowstring is made of a thick, black cord and the bow itself is decorated with intricate carvings of animals and plants.",Ranged Weapon,,,1,,,,,2023-10-31T08:02:39.024047,
141,Crossbow of the Wild Hunt,"This powerful crossbow was crafted by the Wild Hunt, a group of legendary hunters who roam the land in search of powerful prey.",attack_item,Deals extra damage to enemies with high health.,"The Crossbow of the Wild Hunt is a large, ornate crossbow made of dark wood and adorned with intricate carvings. It has a long, curved bow and a thick, heavy stock. The bowstring is made of a strange, glowing material that pulses with energy.",Ranged Weapon,,,1,,,,,2023-10-31T08:02:39.042588,
142,Crystal Ball of True Seeing,This magical crystal ball grants its user the ability to see the truth in any situation.,magic_item,The user of the Crystal Ball of True Seeing can see the truth in any situation.,"The Crystal Ball of True Seeing is a large, clear crystal ball with a silver base. It glows with a faint blue light when used.",Divination,,,1,,,,,2023-10-31T08:02:39.060979,
143,Crystal Ball of True Seeing,This magical crystal ball allows the user to see the truth of any situation.,magic_item,The user can see the truth of any situation.,"The Crystal Ball of True Seeing is a large, round, clear crystal ball with a silver base. It glows with a faint blue light when used.",Arcane,,,1,,,,,2023-10-31T08:02:39.081051,
144,Crystal Ball of True Seeing,This magical crystal ball grants its user the ability to see the truth in any situation.,magic_item,Grants the user the ability to see the truth in any situation.,"The Crystal Ball of True Seeing is a large, round, clear crystal ball with a silver base. It glows with a faint blue light and is said to be able to show the user the truth in any situation.",Arcane,,,1,,,,,2023-10-31T08:02:39.103167,
145,Crystal Guardian,A powerful guardian made of pure crystal that defends its master from all harm.,magic_item,"When this card is summoned, all damage taken by its master is reduced by 50%.","A tall humanoid figure made of pure crystal, with a large shield in one hand and a sword in the other. Its eyes glow with a bright blue light.",Warrior,,,1,,,,,2023-10-31T08:02:39.124360,
146,Cu Sith's Shadow,"A dark and mysterious creature that lurks in the shadows, Cu Sith's Shadow is a powerful force to be reckoned with.",creature,"When Cu Sith's Shadow is summoned, all enemy creatures have their attack and defense reduced by 2.","Cu Sith's Shadow appears as a large, black, shadowy figure with glowing red eyes. Its body is shrouded in darkness, and its presence is intimidating.",Dark Magic,,,1,,,,,2023-10-31T08:02:39.149900,
147,Cu Sith's Shadow,"A shadowy figure of a Cu Sith, a mythical creature from Scottish folklore.",creature,Summon a Cu Sith to your side and gain +2 attack and +2 health.,"A shadowy figure of a large, black dog with glowing red eyes and a long, shaggy coat.",Neutral,,,1,,,,,2023-10-31T08:02:39.176576,
148,Curse of Vulnerability: The Unyielding,"This powerful curse causes the target to become vulnerable to all forms of damage, making them unable to resist any attack.",magic_item,Target becomes vulnerable to all forms of damage.,"A dark, swirling mist surrounds the target, leaving them exposed and vulnerable to all forms of attack.",Curse,,,1,,,,,2023-10-31T08:02:39.198768,
149,Cursed Blindness,"This card causes the target to become blind, unable to see anything.",magic_item,The target is blinded and cannot see anything.,"The card depicts a figure shrouded in darkness, with a pair of eyes that have been cursed and are now blind.",Curse,,,1,,,,,2023-10-31T08:02:39.217346,
150,Cursed Blindness,"This card causes the target to become blind, unable to see anything in their vicinity.",magic_item,The target is blinded and cannot see anything in their vicinity.,"The card depicts a figure shrouded in darkness, with a pair of eyes that have been covered by a black cloth.",Curse,,,1,,,,,2023-10-31T08:02:39.236280,
151,Cursed Specter,"A ghostly figure that haunts the battlefield, draining the life force of its enemies.",magic_item,Deal 3 damage to a random enemy minion.,"A pale, ghostly figure with glowing red eyes and a tattered cloak. It has long, bony fingers and a sinister grin.",Neutral,,,1,,,,,2023-10-31T08:02:39.254740,
152,Cursed Vulnerability,"When this card is played, the target creature loses all of its resistances and immunities.",magic_item,Target creature loses all resistances and immunities.,"A black and purple aura surrounds the target creature, with a skull in the center of the aura.",Curse,,,1,,,,,2023-10-31T08:02:39.275663,
153,Cursed Vulnerability,This card causes the target to become vulnerable to all forms of damage.,magic_item,Target creature becomes vulnerable to all forms of damage.,A black card with a red skull in the center surrounded by a purple aura.,Curse,,,1,,,,,2023-10-31T08:02:39.292063,
154,Cyclops of the Storm,A powerful cyclops that commands the power of the storm.,creature,"When this card is summoned, all other creatures on the field are struck by lightning.","A giant cyclops with a single eye, wearing a crown of lightning and wielding a trident of thunder.",Elemental,,,1,,,,,2023-10-31T08:02:39.313393,
155,Dagger of the Deep,This ancient dagger was forged in the depths of the ocean and is said to be imbued with the power of the sea.,attack_item,Grants the wielder the ability to breathe underwater.,"The Dagger of the Deep is a long, curved blade made of a deep blue metal. Its hilt is wrapped in a dark green material and is adorned with a large, shimmering pearl at its center.",Weapon,,,1,,,,,2023-10-31T08:02:39.329020,
156,Darkling Shadow,"A shadowy figure that lurks in the darkness, waiting to strike.",creature,"When this card is summoned, all enemy creatures have their attack and defense reduced by 2.","A tall, dark figure with glowing red eyes and a menacing grin. Its body is shrouded in a cloak of darkness, and its hands are outstretched, ready to strike.",Dark,,,1,,,,,2023-10-31T08:02:39.349230,
157,Deer Woman of the Wilds,"A mysterious creature of the forest, Deer Woman of the Wilds is a powerful ally to those who seek her help.",creature,"When Deer Woman of the Wilds is summoned, all friendly creatures gain +2 Attack and +2 Health.",Deer Woman of the Wilds is a beautiful woman with the head of a deer. She is surrounded by a glowing green aura and is wearing a cloak of leaves and vines.,Nature,,,1,,,,,2023-10-31T08:02:39.366292,
158,Demonic Fury,This card unleashes a powerful wave of dark energy that deals massive damage to all enemies.,creature,Deals massive damage to all enemies.,"A dark figure with glowing red eyes and a menacing scythe stands atop a mountain of skulls, unleashing a powerful wave of dark energy.",Spell,,,1,,,,,2023-10-31T08:02:39.385622,
159,Divine Relic of Power,A powerful relic that grants its wielder immense power.,magic_item,Grants its wielder immense power.,"A golden relic with intricate designs and symbols etched into its surface, radiating a powerful aura.",Divine,,,1,,,,,2023-10-31T08:02:39.403924,
160,Divine Relic of Power,A powerful relic that grants its wielder immense power.,magic_item,Grants the wielder increased strength and magical power.,A golden relic with intricate designs and symbols etched into its surface. It glows with a faint light and emits a powerful aura.,Divine,,,1,,,,,2023-10-31T08:02:39.424368,
161,Djinn of the Mystic Mists,A powerful Djinn that has been sealed away in the Mystic Mists for centuries.,creature,"Once per turn, you can Special Summon 1 Level 4 or lower monster from your hand.","A tall, humanoid figure with a blue-green body and a long, flowing cape. Its eyes are a deep, mysterious purple, and its hands are outstretched, as if beckoning you to come closer.",Spellcaster,,,1,,,,,2023-10-31T08:02:39.440864,
162,Dori's Blessing,"A blessing from the gods, this card grants the user a powerful shield of protection.",creature,Gain a shield that absorbs up to 10 damage.,"A golden light radiates from the card, with a figure of a goddess in the center surrounded by a halo of stars.",Divine,,,1,,,,,2023-10-31T08:02:39.460740,
163,Dori's Blessing,"A blessing from the goddess Dori, granting the user a powerful protection.",creature,Grants the user a powerful shield that absorbs all incoming damage.,"A glowing white light radiates from the card, with a beautiful image of the goddess Dori in the center.",Divine,,,1,,,,,2023-10-31T08:02:39.477837,
164,Dori's Blessing,"A blessing from the gods, Dori's Blessing grants the user a powerful shield of protection.",creature,Grants the user a powerful shield of protection that absorbs damage.,"A bright light radiates from the card, illuminating the area around it. The card itself is a deep blue, with a golden border and a symbol of a shield in the center.",Divine,,,1,,,,,2023-10-31T08:02:39.499955,
165,Dragon's Fury,A powerful spell that unleashes a furious dragon to wreak havoc on your enemies.,creature,Deals massive damage to all enemies.,"A giant dragon appears in the sky, breathing a stream of fire down onto your enemies.",Mage,,,1,,,,,2023-10-31T08:02:39.518883,
166,Dragon's Fury,A powerful spell that unleashes a furious dragon to wreak havoc on your enemies.,creature,Deals 5 damage to all enemies.,"A giant red dragon appears in the sky, breathing a stream of fire down onto your enemies.",Mage,,,1,,,,,2023-10-31T08:02:39.536171,
167,Dreamweaver Enchantment,This enchantment allows you to weave your dreams into reality.,magic_item,You may cast a spell as if it were an enchantment.,"A shimmering, ethereal figure stands in the center of a dreamscape, surrounded by a swirling mist of stars and galaxies. The figure is holding a glowing staff, and its eyes are closed in concentration.",Enchantment,,,1,,,,,2023-10-31T08:02:39.553847,
168,Dreamweaver Enchantment,This enchantment allows you to weave your dreams into reality.,magic_item,You may cast a spell as though it were an enchantment.,"A shimmering, ethereal figure stands in the center of a dreamscape, surrounded by a swirling mist of stars and galaxies. The figure is holding a glowing staff, and its eyes are closed in concentration.",Enchantment,,,1,,,,,2023-10-31T08:02:39.572619,
169,Dryad of the Glade,"A powerful creature of the forest, the Dryad of the Glade is a protector of nature and a friend to all who respect the land.",creature,"When this card is summoned, all friendly creatures gain +2/+2 and all enemy creatures lose -2/-2.","The Dryad of the Glade appears as a beautiful woman with long, flowing hair and a dress made of leaves and vines. She carries a staff in one hand and a bow in the other, and her eyes are filled with a deep wisdom.",Nature,,,1,,,,,2023-10-31T08:02:39.592389,
170,Dryad of the Glade,"When Dryad of the Glade enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",creature,"When Dryad of the Glade enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.","Dryad of the Glade is a female elf with green skin and long, flowing hair. She is wearing a green dress and is surrounded by a lush forest. She is holding a staff in one hand and a small sapling in the other.",Creature,,,1,,,,,2023-10-31T08:02:39.613091,
171,Dullahan's Wrath,"A powerful spell that unleashes a wave of dark energy, dealing massive damage to all enemies.",creature,Deals massive damage to all enemies.,"A dark figure appears in the sky, its eyes glowing with a deep red light. It raises its arms and a wave of dark energy radiates outward, engulfing all enemies in its path.",Sorcery,,,1,,,,,2023-10-31T08:02:39.631215,
172,Dust of Disappearance: Shadow of the Void,"This powerful dust can be used to make a creature or object vanish into the void, never to be seen again.",magic_item,Target creature or object is removed from the game.,"A swirling black mist that envelops the target, leaving nothing but a void in its wake.",Spell,,,1,,,,,2023-10-31T08:02:39.655968,
173,Dusty Dragon,"A powerful dragon that has been dormant for centuries, waiting to be awoken.",magic_item,"When this card is played, all other cards on the field are destroyed.","A large, dusty dragon with a long, spiky tail and wings that stretch across the sky. Its eyes are a deep, glowing red.",Legendary,,,1,,,,,2023-10-31T08:02:39.675130,
174,Dwarven Defender,"A stout and stalwart defender of the Dwarven people, this card is a powerful ally in battle.",creature,Gain +2 attack and +2 defense for each Dwarven ally in play.,"A stout and muscular dwarf wearing heavy armor and wielding a large axe. He stands with a determined expression, ready to defend his people.",Warrior,,,1,,,,,2023-10-31T08:02:39.713762,
175,Dynamite Blaster,A powerful card that deals massive damage to all enemies.,attack_item,Deals 500 damage to all enemies.,"A card depicting a figure holding a lit stick of dynamite, with a bright orange explosion in the background.",Spell,,,1,,,,,2023-10-31T08:02:39.733616,
176,El Chupacabra's Fury,"This card unleashes the fury of El Chupacabra, a legendary creature of Latin American folklore. When played, it deals massive damage to all enemies on the field.",creature,Deals massive damage to all enemies on the field.,"The card depicts El Chupacabra, a mythical creature with a skeletal face, long claws, and a spiky tail. It is surrounded by a swirling vortex of energy, with lightning bolts shooting out from its eyes.",Legendary,,,1,,,,,2023-10-31T08:02:39.767820,
177,Elfish Mystic,A mysterious elf with magical powers.,creature,Summon a random creature with magical powers.,"A tall, slender elf with long, pointed ears and a glowing staff in one hand. His eyes are a deep blue and his hair is a shimmering silver. He wears a long, flowing robe of deep green and purple.",Mage,,,1,,,,,2023-10-31T08:02:39.801416,
178,Elixir of Eternal Life,A powerful elixir that grants the drinker eternal life.,magic_item,Grants the drinker eternal life.,A glowing blue vial filled with a mysterious liquid that sparkles in the light.,Mystic,,,1,,,,,2023-10-31T08:02:39.833381,
179,Elixir of Immortality Card,"This card grants the user immortality, allowing them to live forever.",magic_item,Grants the user immortality.,The card is a deep blue color with a golden elixir in the center. The elixir is surrounded by a halo of light and a swirl of stars.,Legendary,,,1,,,,,2023-10-31T08:02:39.857893,
180,Elixir of Life,A magical elixir that grants the drinker eternal life.,magic_item,Grants the drinker eternal life.,A glowing blue liquid contained in a glass vial with a cork stopper. The liquid is swirling with a mysterious energy.,Mystical,,,1,,,,,2023-10-31T08:02:39.874342,
181,Elixir of Life,A magical elixir that grants the drinker eternal life.,magic_item,Grants the drinker eternal life.,A glowing blue vial filled with a mysterious liquid that sparkles and swirls with a life of its own.,Mystic,,,1,,,,,2023-10-31T08:02:39.894910,
182,Elixir of the Mummy's Blessing,This elixir grants the drinker the blessing of a long-forgotten mummy.,magic_item,Grants the drinker the blessing of a long-forgotten mummy.,"The elixir is a thick, murky green liquid with a faint, sweet smell. It is contained in a small, ornate bottle with a cork stopper.",Potion,,,1,,,,,2023-10-31T08:02:39.917274,
183,Elixir of the Mummy's Curse,"This elixir is said to be cursed by an ancient mummy, and those who drink it will be cursed with a powerful hex.",magic_item,Curses the target with a powerful hex.,"The elixir is a murky green liquid contained in a small vial. It has a skull and crossbones symbol on the label, and a faint mist rises from the vial when opened.",Curse,,,1,,,,,2023-10-31T08:02:39.941864,
184,Elixir of the Mummy's Curse,"This elixir is said to be cursed by an ancient mummy, and those who drink it will be cursed with a powerful hex.",magic_item,The drinker of this elixir will be cursed with a powerful hex.,"The elixir is a murky green liquid contained in a small glass vial. It has a strange, pungent smell and a thick, viscous texture.",Curse,,,1,,,,,2023-10-31T08:02:39.960925,
185,Elladan's Firestorm,Deal 5 damage to all enemies.,creature,Deal 5 damage to all enemies.,"A powerful storm of fire erupts from the hands of Elladan, engulfing all enemies in a raging inferno.",Mage,,,1,,,,,2023-10-31T08:02:39.980783,
186,Empusa of the Wilds,"A powerful creature of the wilds, Empusa of the Wilds is a force to be reckoned with. She is a master of nature and can command the elements to do her bidding.",creature,"When Empusa of the Wilds is summoned, all creatures of the Nature class gain +2/+2 and have their attack and health increased by 2.","Empusa of the Wilds is a tall, imposing figure with long, flowing hair and a wild, untamed look in her eyes. She is dressed in a green and brown robe, and her hands are covered in vines and leaves. She carries a staff in one hand and a bow in the other, and her feet are bare. Her skin is a deep green, and her eyes are a bright yellow.",Nature,,,1,,,,,2023-10-31T08:02:40.010642,
187,Empusa of the Wilds,"A powerful creature of the wilds, Empusa of the Wilds is a force to be reckoned with. She is a master of nature and can command the elements to do her bidding.",creature,"When Empusa of the Wilds is summoned, all creatures of the Nature class gain +2/+2.","Empusa of the Wilds is a tall, imposing figure with long, flowing hair and a wild, untamed look in her eyes. She is dressed in a green and brown robe, and her hands are covered in vines and leaves. She carries a staff made of wood and adorned with feathers and beads.",Nature,,,1,,,,,2023-10-31T08:02:40.029849,
188,Enchantment of Confusion's Mystic Mirage,"This powerful enchantment creates a mysterious mirage of confusion, making it difficult for opponents to discern the truth.",magic_item,Opponents have disadvantage on all Wisdom (Perception) checks.,"A swirling vortex of colors and shapes, creating a mesmerizing and confusing effect.",Enchantment,,,1,,,,,2023-10-31T08:02:40.049685,
189,Enchantment of Sleepful Dreams,This enchantment lulls the target into a deep and restful sleep.,magic_item,The target falls asleep for a duration of 1d4 hours.,"A shimmering blue light radiates from the card, and a gentle breeze carries the scent of lavender and chamomile.",Enchantment,,,1,,,,,2023-10-31T08:02:40.069978,
190,Enchantment of the Mystic,This powerful enchantment grants the user the ability to tap into the power of the mystic realm.,magic_item,The user gains access to the power of the mystic realm.,"The card depicts a figure shrouded in a mysterious blue light, surrounded by a swirling vortex of energy.",Enchantment,,,1,,,,,2023-10-31T08:02:40.088259,
191,Enfield's Firestorm,"When this card is played, all creatures on the field are destroyed and replaced with a Firestorm creature with ATK and DEF equal to the combined ATK and DEF of the destroyed creatures.",creature,Destroy all creatures on the field and replace them with a Firestorm creature with ATK and DEF equal to the combined ATK and DEF of the destroyed creatures.,"A raging inferno engulfs the battlefield, leaving behind a single Firestorm creature with a fierce expression on its face.",Spell,,,1,,,,,2023-10-31T08:02:40.112045,
192,Eolian Windrider,"A powerful creature that rides the winds of the sky, it can bring great destruction to its enemies.",creature,"When Eolian Windrider enters the battlefield, it deals 3 damage to target creature or player.","A large, humanoid figure with wings made of wind and lightning. Its eyes glow with a fierce intensity, and its body is surrounded by a swirling vortex of air.",Creature,,,1,,,,,2023-10-31T08:02:40.132792,
193,Eomer's Fury,Eomer's Fury deals 3 damage to all enemies and gives all allies +2 attack.,creature,Deals 3 damage to all enemies and gives all allies +2 attack.,"A powerful warrior stands atop a hill, his sword raised to the sky. Lightning crackles around him as he unleashes a powerful wave of energy that radiates outward, damaging all enemies and empowering all allies.",Warrior,,,1,,,,,2023-10-31T08:02:40.154626,
194,Ettin's Fury,"When Ettin's Fury is played, deal 4 damage to all enemies.",creature,Deal 4 damage to all enemies.,"A fierce ettin stands atop a mountain of rubble, its two heads roaring in rage as it unleashes a powerful blast of energy that engulfs the battlefield.",Warrior,,,1,,,,,2023-10-31T08:02:40.179114,
195,Fae of the Wilds,"A mysterious creature of the forest, the Fae of the Wilds is a powerful ally to those who can gain its favor.",creature,Summon a random 2-Cost minion.,"A small, humanoid figure with pointed ears and a wild, untamed look in its eyes. It is dressed in a cloak of leaves and vines, and carries a staff made of a twisted tree branch.",Neutral,,,1,,,,,2023-10-31T08:02:40.201916,
196,Fairy Queen,A powerful fairy queen who rules over the magical realm of fairies.,creature,Grants the user the ability to cast powerful spells and enchantments.,"A beautiful woman with long, flowing blonde hair and a pair of delicate wings. She wears a crown of flowers and a flowing gown of shimmering light.",Fairy,,,1,,,,,2023-10-31T08:02:40.230361,
197,Faramir's Firestorm,Summon a raging storm of fire that deals damage to all enemies.,creature,Deals 5 damage to all enemies.,"A swirling vortex of fire erupts from the caster's hands, engulfing the battlefield in a raging inferno.",Mage,,,1,,,,,2023-10-31T08:02:40.248817,
198,Faramir's Firestorm,Summon a raging inferno of fire to burn your enemies.,creature,Deals 5 damage to all enemies.,"A swirling vortex of flames erupts from the caster's hands, engulfing the battlefield in a raging inferno.",Mage,,,1,,,,,2023-10-31T08:02:40.268717,
199,Farmer Maggot's Harvest,Harvest the bounty of Farmer Maggot's fields and gain a bonus to your next attack.,creature,Gain a bonus to your next attack.,"A farmer stands in a field of ripe crops, holding a scythe in one hand and a basket of produce in the other. Rays of sunlight stream down from the sky, illuminating the scene.",Spell,,,1,,,,,2023-10-31T08:02:40.292819,
200,Farmer Maggot's Harvest,Harvest the bounty of Farmer Maggot's fields and gain a bonus to your next turn.,creature,Gain +2 to your next turn.,"A farmer in a straw hat stands in a field of ripe vegetables, holding a basket overflowing with produce.",Neutral,,,1,,,,,2023-10-31T08:02:40.318887,
201,Fauchard's Fury,A powerful weapon that can be used to unleash a devastating attack.,attack_item,Deals massive damage to a single target.,"A large, two-handed sword with a curved blade and a hilt made of gold and silver. The blade is inscribed with ancient runes and glows with a faint blue light.",Weapon,,,1,,,,,2023-10-31T08:02:40.339253,
202,Faun of the Forest,"A magical creature of the forest, the Faun of the Forest is a powerful ally to those who seek its aid.",creature,"When this card is played, all friendly creatures gain +2 attack and +2 health.","The Faun of the Forest is a humanoid creature with the head of a deer and the body of a human. It has antlers and a long, bushy tail. Its skin is a deep green and its eyes are a bright yellow. It wears a long, flowing robe of green and brown. It carries a staff in one hand and a bow in the other.",Nature,,,1,,,,,2023-10-31T08:02:40.384451,
203,Faun of the Forest,"A magical creature of the forest, the Faun of the Forest is a powerful ally to those who seek its aid.",creature,Grants the user the ability to commune with nature and call upon its power.,"The Faun of the Forest appears as a humanoid figure with the head of a deer, antlers sprouting from its head. Its body is covered in a thick fur, and its eyes glow with a mysterious green light.",Nature,,,1,,,,,2023-10-31T08:02:40.433413,
204,Fenrir's Fury,A powerful spell that unleashes the fury of the wolf god Fenrir.,creature,Deal 5 damage to target creature or player.,"A large wolf with glowing red eyes appears in the sky, unleashing a powerful blast of energy towards the target.",Sorcery,,,1,,,,,2023-10-31T08:02:40.456820,
205,Fenrir's Fury,A powerful spell that unleashes the fury of the wolf god Fenrir upon your enemies.,creature,Deal 5 damage to all enemies.,"A swirling vortex of dark energy appears in the sky, and a giant wolf made of pure energy descends from the heavens, unleashing a powerful blast of energy that engulfs your enemies.",Sorcery,,,1,,,,,2023-10-31T08:02:40.483619,
206,Fili's Firestorm,Fili's Firestorm deals 5 damage to all enemies on the field.,creature,Deals 5 damage to all enemies on the field.,"A swirling vortex of fire erupts from Fili's hands, engulfing the battlefield in a raging inferno.",Spell,,,1,,,,,2023-10-31T08:02:40.510094,
207,Firebird Phoenix,"A legendary creature that rises from the ashes of its predecessor, the Firebird Phoenix is a powerful force of destruction and rebirth.",creature,"When this card is summoned, all other creatures on the field are destroyed and replaced with a new creature of the same type.","A large, fiery bird with wings of flame and a long, curved beak. Its eyes are glowing red and its feathers are a brilliant orange and red.",Legendary Creature,,,1,,,,,2023-10-31T08:02:40.531055,
208,Fists of Fury,Unleash your inner power and strike your enemies with a flurry of punches.,attack_item,Deals X damage to all enemies.,A warrior with glowing fists surrounded by a swirling aura of energy.,Warrior,,,1,,,,,2023-10-31T08:02:40.555319,
209,Fists of Fury,Unleash your inner power and strike your enemies with a flurry of punches.,attack_item,Deal 3 damage to all enemies.,A warrior with glowing fists surrounded by a swirling aura of energy.,Warrior,,,1,,,,,2023-10-31T08:02:40.577913,
210,Flail of Fury,This magical flail is said to be imbued with the rage of a thousand warriors.,attack_item,"When used in battle, the wielder of the Flail of Fury gains a +2 bonus to attack and damage rolls.","The Flail of Fury is a large, two-handed weapon with a spiked ball at the end of a long chain. The handle is made of a dark, almost black metal, and the spikes are a bright, fiery red.",Weapon,,,1,,,,,2023-10-31T08:02:40.603935,
211,Flail of Fury,"This magical flail is said to be imbued with the rage of a thousand warriors. When wielded, it can unleash a powerful shockwave of energy that can devastate any foe.",attack_item,Deals massive damage to a single target.,"The Flail of Fury is a large, two-handed weapon with a long handle and a spiked ball at the end. The handle is made of a dark, almost black metal, and the ball is made of a bright, shining silver. The handle is inscribed with ancient runes that glow with a faint blue light.",Weapon,,,1,,,,,2023-10-31T08:02:40.623823,
212,Flamethrower Phoenix,A phoenix that can shoot fire from its wings.,attack_item,Deals 500 damage to all enemies.,"A large phoenix with bright red and orange feathers, and a beak that can shoot fire.",Fire,,,1,,,,,2023-10-31T08:02:40.650664,
213,Fomorian Colossus,"A giant creature of immense power, the Fomorian Colossus is a force to be reckoned with.",creature,"When this card is summoned, all enemy creatures have their attack and defense reduced by 5.","The Fomorian Colossus is a towering figure, standing at least 20 feet tall. Its body is made of solid stone, and its face is a mask of pure rage. Its arms are massive, and its hands are clenched into fists. Its eyes glow with a fierce intensity.",Warrior,,,1,,,,,2023-10-31T08:02:40.671850,
214,Frar's Fury,"When Frar's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A powerful spell cast by a mysterious wizard, Frar's Fury is depicted as a swirling vortex of energy, with sparks of lightning and fire erupting from its center.",Spell,,,1,,,,,2023-10-31T08:02:40.701244,
215,Frerin's Firestorm,Deal 5 damage to all enemies.,creature,Deal 5 damage to all enemies.,"A powerful storm of fire erupts from the caster's hands, engulfing all enemies in a raging inferno.",Spell,,,1,,,,,2023-10-31T08:02:40.741010,
